age,study_hours,class_attendance,sleep_hours,sleep_quality,exam_difficulty,facility_rating,exam_score
24,7.74,74.8,4.2,3,2,3,74
22,0.9,74.5,5.5,1,2,3,30.9
23,6.9,76.3,5.1,1,2,1,75.9
23,4.6,64.8,8.9,1,1,1,75.3
18,6.65,57.4,7,3,3,1,88.7
19,5.07,59.7,5.1,3,2,1,73.6
20,6.15,90.1,7.4,1,2,3,76.8
20,5.85,77.5,6.6,2,2,1,64.9
17,2.08,63.9,6.6,3,1,3,47.2
21,7.48,76.8,5.2,1,3,1,78.1
18,5.15,61,7.8,2,2,2,77.8
22,1.62,91.8,8.9,2,2,3,66.9
22,2.45,83.7,6.9,3,2,2,70.5
24,4.26,46.1,4.9,2,2,2,57.2
22,7.05,43.4,5.6,2,2,2,75.5
19,6.37,42,5.9,3,1,1,62.8
24,2.42,41.7,9.3,2,2,3,31.7
20,5.51,69.8,7.7,3,3,1,70.3
19,0.08,50.9,9.6,1,2,1,19.599
24,2.66,80.5,5.9,2,2,1,54
19,6.72,69,9.2,3,2,3,61
17,1.21,45.6,8.8,2,2,2,35.1
20,2.83,40.6,9.7,3,1,1,57.5
23,0.08,42.2,5.5,3,1,3,26.4
18,0.19,72,9.7,1,2,3,45.3
20,1.17,75.2,8,3,1,3,46.9
18,0.81,61.2,8.4,1,3,2,37.1
22,3.92,44.7,5.1,2,2,3,54
20,7.2,96.1,5.3,1,2,1,78.8
19,0.68,64.3,9.9,1,2,1,49.9
18,6.96,65.8,8.7,1,3,1,76.9
21,5.35,62.9,9.3,2,2,3,54.4
22,1.35,43.6,5.6,1,2,2,28.3
24,2.32,82.6,7,3,2,2,53.1
20,1.55,79.9,7.2,3,2,3,75.6
18,6.31,49.9,5.6,2,3,1,57.5
23,5.8,56.1,4.9,2,2,3,59.8
22,2.44,72.8,5.1,3,1,2,51.3
22,0.43,62.6,5.9,2,2,1,23.9
17,1.35,99.4,6.5,1,2,3,48.1
19,5.04,69.8,4.1,2,1,3,65.3
23,0.72,92.9,6.9,3,2,1,56.6
23,4.29,52.3,7.2,3,1,3,79.5
20,4.9,73.4,6.9,1,1,3,79.9
23,5.5,59.3,7.6,2,3,1,65.8
23,1,96.1,4.5,3,2,3,61.1
20,3.68,73.1,9.3,3,1,1,65.8
24,3.71,79.2,5.4,2,1,1,49
19,6.68,44.6,6.6,2,2,3,66.3
18,3.75,69.3,9.1,3,2,3,63.9
22,3.25,74.8,8.3,1,1,3,49.5
22,0.99,57.4,8.3,1,2,2,40
18,5.56,84.1,8.8,1,1,2,78.7
23,4.96,68,9.8,3,1,2,61.4
18,5.74,73.7,4.2,1,2,3,69.6
23,5.25,61.7,9.9,1,2,1,71.9
17,7,80.6,9.6,1,2,2,88.5
23,7.02,46.2,4.9,3,2,1,63.8
23,2.46,70.4,5.8,1,3,1,37.1
23,1.46,93.7,8,1,3,3,51.1
22,7.41,54.1,9.3,2,3,1,91.3
20,5.7,92.1,7.3,1,2,3,95.2
22,7.77,93.1,7.1,1,1,1,74.3
19,3.98,53.8,4.7,3,1,3,64
23,7.7,44.8,8.3,2,2,3,79.6
21,0.98,85.9,7,3,1,1,51.8
20,4.72,97.5,4.6,3,2,1,74.4
21,3.97,55.3,9.5,3,1,3,69.9
21,0.08,94.8,5.4,1,2,3,26.5
17,1.54,52.5,7.2,2,2,2,45.5
18,1.23,61.6,9,1,1,2,57
18,0.49,93.2,8,3,1,2,52.8
17,7.59,58.2,5.4,2,2,2,93.1
20,7.72,85.3,9.9,3,2,2,100
22,7.13,48.8,4.6,1,2,2,81.6
22,7.91,62.7,8.8,1,2,3,100
20,6.65,96.4,6.8,2,2,1,100
23,7.46,53.6,4.4,1,2,2,76.9
21,1.58,82.1,5.5,3,3,1,51.9
17,2.06,95.2,4.5,3,2,1,51
23,6.9,87.1,5.2,2,3,3,71.1
21,3.84,96.9,9.3,3,2,1,86.9
22,5.74,96.6,5.8,1,2,3,67.4
21,4.5,46.8,7.7,3,2,1,76.3
21,2.45,76.1,5.2,1,1,3,40.7
17,2.28,65.6,5.5,1,2,2,19.599
21,5.99,81,6.1,3,3,2,71.9
23,4.26,84.6,9.7,2,2,2,56.6
19,2.88,54.7,5.3,2,2,1,64.9
21,4.94,88,7.9,1,1,1,65.6
17,3.36,64.6,6.2,1,2,2,49
19,3.8,79.4,4.9,3,1,1,53.7
20,5.42,65.7,7.3,3,2,1,72.2
24,3.66,60.8,6.2,3,1,3,65.4
18,7.6,81.6,9.2,3,2,1,83.3
19,3.88,72.5,9.6,1,1,2,41.8
20,7.69,91.2,7.4,2,3,1,69.4
24,6.78,87.2,5.8,2,2,3,75.4
23,7.13,92.1,7.2,1,3,1,66.9
17,6.11,85.9,9.3,3,1,3,100
18,4.84,95,8,2,1,2,70.7
23,4.26,49.4,4.5,2,1,2,34.3
17,4.41,78.4,4.4,3,3,3,83.7
23,1.61,44.9,4.9,1,1,3,29.2
19,1.72,70,7.4,3,1,2,60.9
24,0.27,91.7,5,2,2,2,36.3
19,5.96,83.5,5.5,2,2,2,69.1
20,1,75,7.2,2,2,1,63.5
22,4.66,81.6,7.4,2,1,3,82.6
18,1.1,50.4,8.9,2,3,2,38.8
21,0.53,95.8,6.6,2,1,3,56.9
21,4.27,52.7,8.7,1,2,2,45.7
23,6.98,50,4.5,2,2,3,92
24,2.85,48.4,7.3,1,2,1,32.1
22,7.35,96.2,6.6,2,3,2,100
20,0.08,67.7,9.5,3,1,2,40.8
20,3.73,72,8.3,3,3,3,69.5
20,1.17,62.7,8.1,1,2,3,39
23,2.53,41.6,9.4,2,1,2,23.5
19,0.19,44,5.5,1,1,1,19.599
18,0.28,40.9,8.5,3,1,3,46
19,5.7,72.3,9.2,1,2,2,67.9
17,5.24,51.6,9.9,1,2,3,54
17,1.67,64.1,6.6,3,2,2,53.5
17,7.21,67.6,8,2,1,2,77.8
23,5.5,72,5.1,1,2,2,68.1
22,2.69,93.6,7.4,1,2,2,49
22,3.26,42.6,6.7,2,2,3,52.2
20,2.34,69.7,4.8,3,2,3,55.4
22,6.64,47.9,9.5,1,1,3,69.4
18,3.95,95.6,9.4,3,2,1,80.7
24,1.08,95,9.8,1,2,2,32
21,1.61,48.4,5.1,3,2,3,34.3
24,2.37,47,4.1,2,2,2,35.4
18,3.23,46.6,8.5,3,1,2,57.8
20,4.74,45.9,5.6,2,1,1,50.4
22,7.71,49.5,7.8,2,2,3,87.2
20,2.1,49.3,7.2,2,3,1,56.6
20,2.63,49.8,7.5,3,2,3,91.6
18,0.19,48.9,7,1,1,2,23.7
20,2.98,62.7,4.1,2,3,1,56.5
18,5.4,55.2,5.6,2,1,1,76.1
19,7.7,65,9.5,1,1,2,73.1
22,5.92,93.6,6.5,1,2,2,74.8
22,0.94,61.1,5.9,3,1,2,21.4
21,7.12,57.2,4.1,1,2,3,69.5
19,6.71,94.9,6.2,1,1,1,90
24,1.51,59.3,5.3,3,1,2,44.3
17,7.47,47.3,7.1,1,2,1,66.6
19,5.71,77.1,8.2,2,1,3,83.5
17,6.26,56.9,4.4,2,1,3,70.9
19,3.67,71.2,8.3,3,1,1,67.9
24,1.61,86.1,4.1,1,3,2,44.7
19,6.39,73.9,8.1,1,2,3,84
24,3.82,88.5,4.9,2,1,2,73
20,7.74,60.7,6.1,1,2,2,65
22,1.23,50.1,4.7,3,2,1,31.4
20,2.84,63.7,7.3,2,2,1,48.5
19,5.88,64.7,8.8,2,2,3,78.6
23,4.58,83,7.4,2,2,3,90.9
24,3.47,81.2,9.4,1,2,1,39.6
19,5.61,58.6,4.2,3,1,1,66.5
23,5.87,95.8,6.1,2,3,1,83.1
19,4.62,56.5,6.3,2,2,1,40.2
22,2.55,99.4,5.9,2,1,1,57.6
23,4.95,42,6.5,2,2,2,51.5
20,4.36,80.4,7.4,3,1,3,92.2
22,6.38,77.2,5.2,1,2,3,72.7
19,5.23,75.1,5.2,1,2,2,69.9
17,3.97,86.7,4.9,3,2,1,62.6
17,0.15,75.5,5.8,2,1,1,27.7
20,1.34,76.6,7.9,2,3,1,55.9
24,2.69,92.6,7.1,2,2,3,57.2
18,4.81,51.2,5.7,3,1,3,69.9
20,6.34,71.9,9.8,2,3,2,84.6
22,7.68,82.7,7.8,2,2,1,100
18,4.8,58.5,5.6,3,2,1,61.6
22,5.83,53.2,4.3,2,2,3,59.6
19,4.97,47.7,5.4,1,3,1,37.9
23,3.44,55.8,6.9,1,2,2,40.8
21,4.88,80,5.2,1,3,3,73.6
21,3.21,76.9,5.9,1,3,3,52.1
18,3.63,50.3,9.9,2,1,3,65.9
20,7.29,69.5,9.6,3,3,3,100
23,4.51,52.8,7.1,3,1,2,70.6
17,0.8,96.2,9,1,2,3,61.6
23,4.19,83.4,5.7,2,3,3,74.8
20,7.63,50.4,8.5,3,2,1,68.6
22,0.8,57.4,9.4,2,2,1,57.4
22,7.77,91.2,9,2,1,2,95.5
20,7.9,73.4,7.8,1,2,2,89
19,4.49,61.4,9,1,1,1,72.6
22,2.66,75.9,4.1,3,3,3,44.3
18,0.08,63.4,6.3,1,1,1,19.599
21,0.12,94.7,8.6,2,2,3,61.2
17,3.1,92.4,6.4,1,1,3,54.6
22,6.26,49.6,5.1,3,2,3,95.6
22,7.54,80.6,8.6,3,2,2,90.6
17,1.24,90.3,7.7,2,1,2,67.1
23,3.9,52.7,7.1,2,2,2,68.4
20,4.01,92.3,6,3,3,2,83.4
23,3.04,65.2,4.6,2,2,1,53.2
17,4.32,58.5,9.2,2,1,1,71.4
18,7.4,99,5.2,3,2,1,86.2
20,3.51,81.3,7.8,1,3,2,55.4
18,1.1,57.4,5.8,1,1,2,19.8
19,5.32,71.8,5.4,2,2,2,75.7
22,0.25,78.6,6.7,2,1,1,31.9
18,7.52,82.7,8.4,2,1,1,90.7
22,7.52,52.6,5.4,2,3,3,81.7
17,0.74,77,4.6,3,2,1,27.6
18,4.41,90.8,6.9,2,3,1,70.6
21,6.38,88.2,7.3,3,1,2,92.1
23,3.72,57.7,7.9,2,1,2,64.6
18,3.83,98.2,6.7,3,1,3,80.7
19,7.76,40.8,6.3,1,3,2,69.8
24,1.84,86.7,4.9,1,2,3,74.9
24,4.21,59,5.8,1,2,2,50.5
21,0.92,96.5,5.5,3,1,3,67.6
20,2.42,91.7,4.8,3,2,3,53.2
19,6.81,92.9,9.7,2,1,2,85.2
21,5.73,55.1,5.1,3,1,1,70.2
21,4.9,87.8,7.4,1,1,2,65.9
19,0.91,60,6.4,2,2,3,47.4
17,6.81,66.8,7.3,2,3,2,82.8
18,2.38,94.3,7.5,1,1,3,67.7
24,4.28,83.2,7.1,1,2,3,65.8
20,1.87,78.4,6,2,2,2,54.3
20,4.17,47.7,6,3,2,2,49.9
20,4.5,72.3,5,3,2,1,62.2
23,2.72,47.4,6.5,3,3,2,66.1
17,4.05,44.5,6.2,3,1,1,60.2
17,3.25,96.8,9.9,3,1,1,80.1
19,5.58,75.5,4.6,2,2,2,76.3
20,4.35,40.6,7.5,2,2,2,62
22,7.02,68.1,9.9,3,2,1,93.8
20,0.4,57.2,9.6,2,1,1,42.3
20,0.21,49.2,8.2,2,2,3,56.4
24,1.51,89.1,6.4,3,2,1,52.6
18,0.95,49.2,8.4,2,3,2,43.2
21,4.21,50,9.6,1,3,3,60.5
21,1.6,54,7.3,1,3,1,41
20,0.13,82.7,6.1,1,3,3,22.1
23,2.26,51.4,4.1,2,2,1,28.3
19,4.07,59.3,7,3,2,1,52.4
24,5.71,94.1,4.6,3,2,3,84.3
19,3.51,73.9,5.9,1,2,3,60.8
21,7.7,50.4,7.7,1,1,3,55.2
21,1.6,91.6,5.7,2,3,1,59.7
23,4.11,70.7,5.3,3,1,3,69.1
20,2.03,90.1,7.5,1,2,1,57
19,6.45,44.7,4.4,1,1,3,67.9
17,1.5,49.7,9.6,2,1,3,38.3
19,7.69,45.5,9.9,1,2,1,67.2
23,5.73,68.9,9.9,2,1,1,72.9
17,4.45,63.2,4.1,3,3,2,74.2
24,4.26,65,4.1,3,2,3,84.4
21,2.9,62,4.6,3,2,1,64.7
18,0.17,65.4,9.5,2,2,1,49.1
19,7.32,62.9,9.2,3,2,2,85.5
21,6.36,49.6,4.1,2,1,3,50.7
19,1.08,74.1,4.4,3,3,3,59.1
17,0.98,92.2,5.8,1,3,3,51.3
22,2.46,99.4,5.7,3,1,2,53.6
22,6.11,47,4.1,2,2,2,50.3
17,4.03,64.7,4.5,2,2,1,45.7
19,5.23,54.5,8.1,2,1,3,66.1
18,0.08,74,7.5,3,1,2,36.6
22,7.39,61.6,6.1,2,1,1,83.3
22,1.33,92.7,5.5,2,1,2,55.9
22,2.55,96.1,6.8,3,1,3,70.6
24,7.58,59.5,7.8,3,2,1,78.3
23,5.86,61.4,5.8,3,2,1,70.8
19,4.09,72.1,4.8,2,2,3,59
17,6.9,78.1,9.5,2,3,1,70.1
21,0.49,85.1,4.7,2,2,1,46.2
24,0.61,46,9,3,2,2,31.4
24,1.24,43.1,7.4,3,1,2,34.8
18,2.12,80.7,6.8,3,1,3,57.7
18,5.67,68.7,5.5,2,1,3,53.6
17,4.26,80.4,8.2,3,2,1,72.2
18,3.41,58.1,6.9,2,1,1,47.4
21,6.26,50.3,4.6,3,3,3,72.4
21,2.54,46.7,8.9,2,2,2,48.3
19,0.68,87.2,8.1,3,2,1,50.6
19,3.17,64.2,8.6,2,2,3,66.7
23,6.13,45,5.4,1,2,3,60.4
20,3.79,54.8,5.9,2,1,2,58.2
23,7.82,91.7,6,1,1,3,87.2
24,6.85,68.9,5,2,2,3,65.4
19,6.33,91.2,9.3,3,1,2,84.8
18,6.19,96.7,6.2,3,2,1,79.1
24,4.65,44,5.8,2,2,2,57.3
22,7.21,96.6,6.9,3,1,1,88.2
19,4.72,62.3,9.7,1,1,2,66.7
21,2.98,81.9,6.2,3,1,2,67.6
21,1.57,64.2,9.6,2,3,2,53.3
24,6.5,76.9,9.6,3,1,1,86.3
19,2.97,80.2,5.9,1,1,3,57.2
24,6.33,48,7.6,1,2,2,74.5
24,7.86,65.9,7.9,3,2,3,100
18,3.19,52.4,5.7,2,2,1,55.9
18,2.73,47.2,9.9,1,2,3,49.7
21,1.36,75.5,7.6,3,1,3,53.3
17,3.8,80.8,8.3,1,2,1,69.6
19,5.23,55.5,8.1,3,2,1,66.8
20,2.5,40.6,5.3,1,2,3,37.8
24,3.89,98.2,7.6,1,3,2,80.2
24,4.3,68.5,9.2,3,2,2,77.2
18,2.2,79.1,8.6,2,2,1,42.5
24,0.19,44.5,6.7,1,3,3,38.9
17,1.72,77.2,7.3,3,1,2,43
22,6.43,85.8,7.8,1,2,3,100
23,2.22,42.8,6.2,2,2,3,39.8
24,0.11,71.4,6,1,1,2,28
18,3.4,48.5,6.7,1,1,3,68.4
24,5.46,48.8,9.9,3,3,1,67
17,6.02,76.9,8.2,2,2,3,81
21,3.31,77.2,4.8,2,2,2,78
20,4.57,73.2,4.7,2,2,2,86.2
19,5.96,70.6,4.8,3,2,1,73.9
17,7.11,68.2,9.3,1,2,1,71.8
23,5.12,68.9,4.9,1,2,3,54.5
19,5.53,60.1,6.7,2,1,1,80.3
22,0.79,55.4,7.9,1,2,2,37.6
20,3.36,55.9,8.9,2,1,2,45.6
19,7.11,94.5,5.9,1,1,2,96.1
24,1.29,56,5.4,1,2,3,19.7
17,2.48,62.5,4.6,1,1,1,50.6
22,5.42,70.2,4.5,1,2,2,47.8
22,7.22,84.6,4.9,3,2,3,97.5
20,0.47,86.6,8.1,1,2,3,45
19,6.96,83.3,4.4,2,1,2,96.4
17,1.76,58.2,7.9,1,3,1,22.9
24,6.89,49.8,9.2,2,2,2,76.4
24,7.11,89,7.1,2,1,2,79.6
18,6.2,92.5,9.6,1,2,3,71
17,7.39,94.8,6.8,2,2,3,100
17,7.69,91.5,6.8,1,2,1,90.6
17,7.4,61.7,5,3,1,1,50.8
23,4.11,49.2,7.8,2,1,2,67
24,3.71,80.2,8.6,3,2,1,80
18,0.84,79,5.2,1,1,3,61.5
22,1.73,54.9,7.7,3,1,1,27
18,5.22,77.2,6.5,3,3,3,96
19,1.02,99.4,9.9,1,2,3,57.9
21,7.54,50.1,4.4,2,2,3,72.6
22,1.82,62.7,6.4,3,2,2,65.9
23,0.7,63.5,6.5,1,2,1,31.3
17,1.88,52.8,6.8,2,3,1,41.1
18,0.39,87.3,5.8,1,2,1,25.5
19,1.33,82.4,5.7,1,2,3,26.7
19,4.7,53,6.1,1,1,2,57
24,2.31,91.5,5,1,2,1,74.3
23,6.41,65.5,4.8,1,2,1,75.5
19,3.24,73.1,9.4,2,3,2,68.8
24,5.71,81.1,7,1,1,3,62.7
20,5.67,92.4,8.7,1,1,1,76.3
21,1.09,53.6,6.1,2,2,2,45.7
20,0.45,75.5,9.6,3,1,2,53.5
18,6.74,80.3,8.9,2,2,3,78.1
24,5.61,93.2,9.8,2,2,3,100
17,1.4,86.3,8.6,1,2,3,59.4
18,5.44,94.9,8.3,2,1,1,70.5
18,2.64,44.5,7.6,2,2,3,73.7
19,0.45,65.5,8.8,2,2,3,42.9
18,1.83,58.4,5.9,3,1,3,56.4
17,6.05,69.8,4.4,3,2,2,76.6
22,3.13,88.6,6.2,2,2,1,47.4
24,4.36,69.6,8.6,2,2,3,76
17,1.09,42.1,4.6,2,1,1,19.599
19,0.74,80.2,9.4,2,1,2,69.5
21,1.91,40.6,7.2,1,1,1,36.7
24,3.78,45.9,8.8,2,3,3,56.1
22,6.78,83.7,7.1,2,2,1,81.5
23,6.11,89.9,9,2,2,3,100
21,1.28,59.1,9.9,3,2,1,35.6
20,0.57,74.1,8.9,2,2,1,38.1
18,1.8,72.8,9.3,3,2,3,80.9
23,6.82,43.3,8.9,2,2,2,82.3
23,4.13,72.7,6.7,2,2,3,64.6
17,6.46,40.7,6.1,1,2,2,52.8
22,2.96,89.2,7.4,2,1,2,44.4
17,4.72,84.9,5.2,3,2,2,78.2
22,4.76,57,6.6,3,2,1,59.9
23,5.01,55.7,4.8,2,1,3,74.8
18,3.76,51.4,5.8,1,2,2,45
20,1.91,97.2,8.2,3,1,2,64.7
17,3.43,90.7,4.4,1,2,1,57.3
21,7.8,90.3,9.5,3,2,2,96.3
24,2.18,68,4.3,1,2,2,32.1
17,5.8,88.7,5.5,3,2,3,97.9
20,7.56,75.5,9.7,3,2,2,87
24,4.53,58,9.2,2,2,1,61.9
19,3.91,65.8,4.6,3,2,3,59.1
18,0.97,64.5,9.2,2,2,1,63.8
20,6.03,61.1,9.1,3,3,3,61.3
21,7.29,54.5,6.9,1,3,3,79.4
22,7.85,63.9,9.2,2,3,1,100
19,1.61,76,6.9,2,1,3,32
24,7.36,51.8,4.9,3,2,1,85.9
21,2.96,48.5,5.4,3,2,2,49
19,4.95,81.4,6,3,2,1,77.6
24,1.79,71.6,6,3,2,2,37.3
24,1.99,61.1,8.4,3,2,2,61.9
20,4.95,94.5,5.3,1,3,2,62
17,3.88,67.7,8.5,1,3,2,52.3
21,7.72,59.9,7.3,3,2,2,82.5
21,2.12,53,7.6,1,2,2,30.3
18,7.02,59.4,8.3,3,2,1,57.6
22,3.68,56.4,8.7,2,1,1,39.7
23,1.08,92,6.3,2,1,2,62.1
17,1.91,93.5,8.1,1,1,1,55
22,6.05,64.8,4.3,2,2,1,69.7
18,6.61,55.7,8.6,1,1,1,54.5
22,0.32,47.8,8.6,3,3,1,38.1
20,3.28,83,9.8,2,2,1,60.8
17,3.95,92.7,5.1,1,2,2,72.2
24,4.92,64.7,4.8,3,2,3,71.3
18,5.2,92.5,9.5,1,2,1,66.6
21,6.64,54.9,6,1,3,1,58.3
18,2.19,76.5,7.6,3,3,3,60.4
24,0.9,44.9,9.7,3,2,2,45.4
22,1.49,73.8,8.1,3,3,2,61.6
23,7.49,78.3,5.6,3,3,3,87.8
20,4.37,78.7,4.8,1,1,1,67
20,1.75,86.7,6.1,2,2,2,39.9
22,6.29,45.7,8,1,2,1,59.5
23,4.7,56.7,9.7,2,1,1,62.4
23,2.94,81.6,4.4,1,2,3,50.1
17,0.15,75.5,6.6,3,2,3,52.2
22,6.26,97,8.8,2,2,3,84.5
17,5.74,87.1,9.2,1,2,2,79.8
19,2.1,68.3,9.1,1,3,1,38.8
23,2.12,72,8.7,1,1,2,62.6
19,2.17,79.6,5.1,1,3,1,37
23,5.36,40.6,6.1,1,2,1,67
20,2.35,61.9,7.5,2,3,3,59.2
18,2.48,47.3,4.8,1,3,1,27.2
19,3.01,54.4,6.4,3,1,1,64.7
21,7.84,89.8,5.3,1,2,1,97.1
23,3.68,72.9,5.8,2,2,2,53.1
21,3.02,91.6,8.8,3,2,2,72.5
24,3.76,93.3,8.1,3,2,3,93.8
23,5.75,88.4,4.1,1,2,3,72.7
23,7.07,85.7,9.6,3,2,1,89.4
21,7.91,50,7.2,2,1,2,73.7
19,3.89,56.2,7.9,3,3,2,77
20,3.68,82.2,7.7,2,2,3,81.5
17,2.64,58.1,4.4,3,2,1,39.5
19,6.23,62.5,9.3,2,3,3,84.9
24,5.24,96.2,8.1,1,3,3,71.5
20,2.91,82.4,5.5,3,1,1,71
17,4.15,46.4,4.5,3,2,1,46.7
22,1.65,83.3,9.9,1,2,3,66.7
24,5.55,87.6,9.6,1,2,1,85.8
23,2.02,94.8,8.3,3,2,3,48.3
19,2.8,81.1,7.2,2,1,3,62.4
20,0.54,45.7,7.6,1,1,3,23.1
21,1.76,85.9,7,3,2,1,68.1
18,1.56,79.4,9.2,3,2,1,34.7
19,5.88,67.4,8.4,3,2,1,52.9
18,5.56,85.6,4.4,2,2,1,88.4
24,4.31,71.5,6,3,1,3,64.7
22,3.1,95.9,8.3,1,1,1,43.7
23,7.12,95.9,9.9,1,3,3,85.4
23,7.07,53.5,8.6,3,3,3,88.9
24,4.82,66.4,7,2,2,2,70.9
17,5.26,51.9,8.6,2,2,2,78.5
24,6.37,59.8,8.3,2,2,1,70.8
17,5.78,53.4,8.3,1,2,2,82.2
20,1.8,70.7,9.7,1,3,3,52.4
21,4.03,40.6,7.7,3,2,1,50.4
19,1.22,87.5,7.1,3,2,3,56
18,6.48,49.5,8.5,1,2,2,59.4
18,5.23,56.4,9.3,2,2,2,91.5
23,7.83,50.5,7.8,3,1,1,62.6
19,1.09,61.2,4.1,3,3,1,23.6
19,4.08,44.6,4.4,3,1,2,52.6
24,5.79,91.5,9,3,2,2,100
18,6.94,64.9,7,1,2,2,64.4
24,6.83,95.5,9.9,1,2,1,80.5
24,1.62,42.8,5.3,2,2,3,40.7
21,7.86,50.4,8.2,1,3,2,74.5
18,7.85,90.1,6.5,3,2,3,100
18,7.75,67.8,4.1,1,1,2,86.7
19,4.91,43.6,6.2,3,1,2,83
21,6.66,42.8,5.2,1,1,1,59.7
18,0.61,93.7,7.3,3,1,1,62.5
20,2.04,55.7,9.2,1,3,2,32.9
17,0.74,64.7,9.9,1,2,1,38.9
21,4.04,93.8,7.3,1,2,1,60.6
17,7.72,80.1,9.6,3,2,2,91.9
22,5.19,86.2,9.2,3,2,3,87.4
17,3.69,68.3,5.2,1,2,2,56.6
18,6.34,81.7,4.2,1,3,1,67.7
18,4.4,75.1,9.2,3,1,2,63.1
23,3.66,50.2,7.4,3,2,1,46
17,5.03,74.4,8.7,3,2,2,67.5
20,4.09,95.5,7.9,3,1,1,81.5
21,5.13,60.7,5.4,2,2,3,72.3
21,6.42,69.6,6.7,3,2,3,89.9
22,3.7,65,6.1,3,2,2,49.7
23,3.32,81.3,8.2,2,2,3,68.2
20,4.47,77.6,4.3,2,2,3,77.2
23,7.24,68.6,6.7,2,2,2,75.2
19,3.38,42.8,5.5,3,2,1,61.7
24,6.78,55.9,8.2,1,1,1,70.2
21,4.94,58.9,6.8,2,1,3,64.8
22,0.1,83.9,8.2,3,1,2,60
24,3.81,63.8,8.8,1,2,2,56.2
23,1.68,62.7,8.6,2,3,1,31
23,1.2,66.8,9.5,2,2,2,50.3
21,1.88,65.9,4.6,1,1,2,38.9
17,5.7,83.1,4.5,1,1,2,57.6
20,5.02,80.2,5.4,2,2,2,61.1
18,4.29,85.8,6.7,1,1,3,56.1
24,3.96,52.4,7,2,2,3,59.8
18,3.11,84.5,9.4,3,1,1,59.7
18,7.09,57.8,9.9,2,2,1,69.4
18,7.46,40.6,6,3,2,2,85.2
22,6.12,78.4,9.7,2,3,2,100
21,2.31,40.7,5.5,2,2,2,32.2
24,7.31,45.9,5.1,1,1,1,72.4
20,6.55,42.5,8.1,2,2,1,77.9
19,0.99,76.4,6.3,1,2,3,50.4
17,2.73,52.5,8.8,3,2,3,59.5
17,2.62,88.5,9.4,1,2,3,64
19,5.84,61.4,7.4,1,3,1,66.8
24,4.19,60.1,9.2,2,1,2,59.7
21,2.14,70.9,5.9,3,1,3,68
24,1.85,86.5,4.4,3,2,2,64.2
17,3.66,81.8,7.3,2,1,1,67.3
17,5.33,52.4,9.8,2,1,1,63.5
23,4.07,85.8,7.7,2,2,2,77.1
17,2.09,70.4,8.4,3,2,3,62.5
17,4.96,99.2,9.5,3,1,1,100
20,7.91,71,8.7,1,2,2,73.8
24,1.41,57.2,7.6,3,3,3,53.2
22,4.23,85.7,8.9,1,1,1,91.6
17,3.01,41.8,6,3,2,1,43.6
23,1.75,83.5,7.5,2,3,3,52.2
23,7,72.6,9.3,3,1,3,97.6
23,7.66,50.5,6.5,2,2,2,62.4
24,2.8,41.4,8.9,1,1,1,53
18,2.78,42.8,8.4,1,1,2,37.1
24,0.73,44.9,6,1,3,2,32.3
